Ep,Ep_r,epsilon
0,-144.11952,1.0
1,-132.335122,1.0
2,-267.683472,1.0
3,-457.262164,1.0
4,-314.946082,1.0
5,-123.852555,1.0
6,-166.013858,1.0
7,-173.556002,1.0
8,-193.513731,1.0
9,-210.56645,1.0
10,-421.648146,1.0
11,-181.628461,1.0
12,-506.607786,1.0
13,-217.530785,1.0
14,-139.709854,1.0
15,-269.901689,1.0
16,-172.355993,1.0
17,-239.08495,1.0
18,-235.727909,1.0
19,-411.479513,1.0
20,-174.951962,1.0
21,-171.829514,1.0
22,-145.899216,1.0
23,-117.806139,1.0
24,-230.990604,1.0
25,-154.3554,1.0
26,-340.921029,1.0
27,-136.65305,1.0
28,-371.404363,1.0
29,-115.177212,1.0
30,-181.828472,1.0
31,-454.283318,1.0
32,-145.622024,1.0
33,-303.36565,1.0
34,-142.59533,1.0
35,-267.974838,1.0
36,-344.78432,1.0
37,-131.659276,1.0
38,-382.429936,1.0
39,-279.573139,1.0
40,-242.710113,1.0
41,-148.338446,1.0
42,-229.246501,1.0
43,-225.056324,1.0
44,-226.511914,1.0
45,-418.72741,1.0
46,-420.713289,1.0
47,-129.335452,1.0
48,-254.530181,1.0
49,-320.998715,1.0
50,-239.95243,1.0
51,-305.214497,1.0
52,-131.724461,1.0
53,-197.638287,1.0
54,-180.442572,1.0
55,-207.381171,1.0
56,-157.190833,1.0
57,-135.73745,1.0
58,-256.850445,1.0
59,-166.701316,1.0
60,-354.216741,1.0
61,-164.902939,1.0
62,-160.705549,1.0
63,-148.679274,1.0
64,-128.425425,1.0
65,-518.782347,1.0
66,-426.098877,1.0
67,-191.069969,1.0
68,-157.438041,1.0
69,-246.649825,1.0
70,-145.822478,1.0
71,-150.763881,1.0
72,-419.746738,1.0
73,-185.809565,1.0
74,-392.603642,1.0
75,-166.145142,1.0
76,-254.513824,1.0
77,-137.14054,1.0
78,-140.295937,1.0
79,-113.676582,1.0
80,-116.337469,1.0
81,-152.999278,1.0
82,-134.037776,1.0
83,-149.633056,1.0
84,-497.31043,1.0
85,-191.889371,1.0
86,-180.529449,1.0
87,-157.389049,1.0
88,-140.960565,1.0
89,-293.824895,1.0
90,-191.059211,1.0
91,-223.08985,1.0
92,-154.090881,1.0
93,-348.111626,1.0
94,-105.372696,1.0
95,-181.40852,1.0
96,-340.601545,1.0
97,-486.37571,1.0
98,-245.963211,1.0
99,-239.130744,1.0
100,-194.601625,1.0
101,-166.013674,1.0
102,-183.475943,1.0
103,-394.188727,1.0
104,-165.010742,1.0
105,-156.471762,1.0
106,-452.949805,1.0
107,-132.573393,1.0
108,-335.997029,1.0
109,-156.251183,1.0
110,-198.360661,1.0
111,-343.508656,1.0
112,-249.464347,1.0
113,-137.081484,1.0
114,-147.661833,1.0
115,-387.832762,1.0
116,-142.902612,1.0
117,-166.962156,1.0
118,-249.986903,1.0
119,-170.056418,1.0
120,-317.618345,1.0
121,-121.847517,1.0
122,-335.410042,1.0
123,-512.657736,1.0
124,-177.754456,1.0
125,-208.149749,1.0
126,-269.261617,1.0
127,-112.681328,1.0
128,-116.552401,1.0
129,-191.794836,1.0
130,-155.429845,1.0
131,-366.219179,1.0
132,-152.093857,1.0
133,-164.199519,0.994164
134,-213.68844,0.988363
135,-182.836365,0.982595
136,-126.218872,0.976862
137,-232.265181,0.971161
138,-137.776852,0.965495
139,-106.550191,0.959861
140,-233.322063,0.954261
141,-199.962139,0.948694
142,-33.71165,0.943159
143,-129.442958,0.937656
144,-50.887974,0.932186
145,-98.489468,0.926748
146,-281.322571,0.921342
147,-139.588711,0.915968
148,-364.751301,0.910625
149,-168.816303,0.905313
150,-168.323536,0.900033
151,-239.958642,0.894783
152,-127.777768,0.889565
153,-82.210401,0.884377
154,-150.396581,0.879219
155,-165.579849,0.874092
156,-141.145952,0.868994
157,-152.500138,0.863927
158,-74.62798,0.858889
159,-136.018853,0.853881
160,-143.345518,0.848902
161,-118.002573,0.843953
162,-143.538207,0.839032
163,-150.647922,0.834141
164,-79.056944,0.829278
165,-141.342454,0.824443
166,-101.589163,0.819637
167,-280.213518,0.814859
168,-200.921434,0.810109
169,-159.869146,0.805387
170,-75.22549,0.800693
171,-158.672458,0.796026
172,-128.238592,0.791387
173,-136.313051,0.786774
174,-132.534572,0.782189
175,-106.475071,0.777631
176,-148.626716,0.773099
177,-134.268904,0.768594
178,-282.540307,0.764116
179,-198.21125,0.759664
180,-125.854875,0.755237
181,-144.178257,0.750837
182,-143.174016,0.746463
183,-152.360894,0.742114
184,-269.377225,0.737791
185,-131.361604,0.733493
186,-96.054412,0.72922
187,-32.912547,0.724973
188,-218.41807,0.72075
189,-112.399231,0.716552
190,-160.032573,0.712379
191,-45.911594,0.70823
192,-151.296153,0.704105
193,-126.074925,0.700005
194,-110.094703,0.695929
195,-119.344389,0.691876
196,-117.099335,0.687848
197,-81.940708,0.683843
198,-101.087048,0.679861
199,-70.63041,0.675903
200,-126.034231,0.671968
201,-116.50871,0.668057
202,-140.851753,0.664168
203,-38.773879,0.660302
204,-37.945966,0.656458
205,-94.722993,0.652637
206,-133.730217,0.648839
207,-49.455468,0.645063
208,-88.878883,0.641309
209,-133.171873,0.637577
210,-100.830374,0.633867
211,-81.60673,0.630178
212,-28.168515,0.626512
213,-62.497354,0.622866
214,-81.230346,0.619242
215,-42.073217,0.61564
216,-145.344917,0.612058
217,-106.620192,0.608498
218,-160.183099,0.604958
219,-243.008058,0.60144
220,-104.999404,0.597941
221,-87.29718,0.594464
222,-95.43733,0.591007
223,-26.570121,0.58757
224,-113.289311,0.584153
225,-56.041128,0.580756
226,-50.911017,0.577379
227,-131.501743,0.574022
228,-68.56211,0.570685
229,-113.190525,0.567367
230,-113.484987,0.564069
231,-111.497819,0.56079
232,-234.289377,0.55753
233,-76.598488,0.554289
234,-89.940489,0.551068
235,-58.210182,0.547865
236,-439.668647,0.544681
237,-58.63223,0.541516
238,-40.837516,0.538369
239,-87.115764,0.535241
240,-77.672537,0.532131
241,-73.15349,0.529039
242,-76.097546,0.525966
243,-93.986139,0.52291
244,-68.229075,0.519872
245,-88.504351,0.516853
246,-61.868075,0.513851
247,-81.387314,0.510866
248,-122.807372,0.507899
249,-42.220361,0.50495
250,-234.073551,0.502017
251,-44.913854,0.499102
252,-89.575865,0.496204
253,-75.788195,0.493323
254,-111.204207,0.490459
255,-99.166284,0.487612
256,-138.102458,0.484782
257,-130.3387,0.481968
258,-129.679496,0.47917
259,-76.098989,0.476389
260,-15.655229,0.473624
261,-25.865603,0.470876
262,-132.156332,0.468143
263,-26.920647,0.465427
264,-282.646584,0.462727
265,-32.488517,0.460042
266,-45.329911,0.457373
267,-56.385928,0.45472
268,-115.047415,0.452082
269,-68.663856,0.44946
270,-59.449003,0.446853
271,-214.25246,0.444262
272,61.296342,0.441686
273,-79.727848,0.439124
274,-92.688918,0.436578
275,-225.451639,0.434047
276,-112.663436,0.431531
277,-92.037315,0.429029
278,-86.98489,0.426542
279,-286.061568,0.42407
280,-52.441528,0.421612
281,-135.38159,0.419168
282,-95.073548,0.416739
283,-54.449937,0.414324
284,-64.650285,0.411923
285,-45.527947,0.409537
286,-73.862651,0.407164
287,-64.037321,0.404805
288,-35.521562,0.402461
289,-49.165938,0.400129
290,-56.839591,0.397812
291,-49.009346,0.395508
292,-20.120712,0.393218
293,-142.140475,0.390941
294,-101.38319,0.388677
295,-89.971811,0.386427
296,-109.951082,0.38419
297,-89.404969,0.381966
298,-5.816783,0.379755
299,-58.224201,0.377557
300,-1.997282,0.375372
301,-75.379365,0.3732
302,32.732106,0.37104
303,-96.709759,0.368893
304,-126.360319,0.366759
305,-162.709269,0.364637
306,-81.319217,0.362528
307,-174.108807,0.360431
308,-146.611189,0.358346
309,-66.203608,0.356274
310,-184.133851,0.354214
311,-1.775774,0.352165
312,-136.568744,0.350129
313,-115.669758,0.348105
314,39.981451,0.346093
315,-115.397105,0.344092
316,57.778519,0.342103
317,-146.251647,0.340126
318,-2.008389,0.338161
319,-162.495842,0.336207
320,115.412217,0.334264
321,-121.06251,0.332333
322,-76.257099,0.330413
323,-159.110421,0.328505
324,38.952636,0.326607
325,-28.452135,0.324721
326,-23.927926,0.322846
327,-54.147553,0.320982
328,-126.676224,0.319128
329,-40.583226,0.317286
330,-133.534059,0.315454
331,92.152704,0.313634
332,-28.249678,0.311823
333,82.763274,0.310024
334,67.68696,0.308235
335,-294.268561,0.306456
336,-13.073198,0.304688
337,-83.62679,0.302931
338,95.902158,0.301183
339,-65.962855,0.299446
340,-81.932853,0.297719
341,-145.627472,0.296002
342,-51.971384,0.294295
343,-95.479237,0.292599
344,22.187506,0.290912
345,-68.336675,0.289235
346,42.005683,0.287568
347,-93.783578,0.285911
348,7.218224,0.284263
349,-216.827851,0.282625
350,-57.957655,0.280997
351,-197.571565,0.279378
352,-272.858135,0.277769
353,-373.978848,0.276169
354,-334.983326,0.274579
355,90.331466,0.272998
356,-120.914408,0.271426
357,-403.391792,0.269863
358,-142.442498,0.26831
359,-5.476217,0.266765
360,-236.551714,0.26523
361,-60.325263,0.263704
362,-113.310846,0.262187
363,-236.575802,0.260678
364,-217.542816,0.259179
365,-270.078172,0.257688
366,-357.53295,0.256206
367,-228.397817,0.254732
368,-298.362918,0.253268
369,-259.935831,0.251812
370,-243.658764,0.250364
371,-317.907239,0.248925
372,-253.775861,0.247494
373,-287.85736,0.246072
374,-286.541431,0.244658
375,-248.139502,0.243252
376,-269.651389,0.241855
377,-309.250021,0.240466
378,-301.962484,0.239085
