Ep,Ep_r
0,-8.36
1,-272.75
2,-284.27
3,-506.1
4,-179.49
5,-220.01
6,-211.46
7,-156.01
8,-159.88
9,-349.66
10,-309.38
11,-170.36
12,-111.62
13,-170.76
14,-186.62
15,-136.0
16,-199.15
17,-377.6
18,-146.12
19,-133.95
20,-119.12
21,-197.2
22,-151.04
23,-152.5
24,-155.09
25,-167.69
26,-126.58
27,-169.62
28,-268.23
29,-319.67
30,-226.42
31,-435.67
32,-158.69
33,-254.68
34,-164.31
35,-159.57
36,-162.07
37,-130.29
38,-116.87
39,-164.49
40,-198.37
41,-286.74
42,-128.22
43,-296.26
44,-280.94
45,-81.31
46,-437.42
47,-54.4
48,-195.84
49,-347.54
50,-157.69
51,-189.85
52,-174.74
53,-486.18
54,-421.42
55,-169.43
56,-450.16
57,-367.21
58,-115.78
59,-289.17
60,-120.38
61,-86.97
62,-466.62
63,-152.12
64,-134.28
65,-168.2
66,-312.94
67,-168.79
68,-315.61
69,-179.03
70,-149.07
71,-550.61
72,-469.61
73,-358.88
74,-160.22
75,-498.62
76,-449.79
77,-177.94
78,-175.53
79,-152.22
80,-203.44
81,-454.51
82,-176.87
83,-223.66
84,-348.23
85,-186.35
86,-117.15
87,-121.94
88,-441.79
89,-245.59
90,-172.73
91,-181.59
92,-209.44
93,-115.1
94,-186.7
95,-208.15
96,-118.29
97,-225.96
98,-302.79
99,-145.36
100,-212.75
101,-387.73
102,-400.36
103,-442.2
104,-372.75
105,-163.8
106,-319.23
107,-139.33
108,-217.03
109,-164.74
110,-179.27
111,-179.45
112,-175.18
113,-390.34
114,-138.5
115,-142.63
116,-159.42
117,-181.9
118,-109.6
119,-158.9
120,-251.63
121,-204.77
122,-194.91
123,-128.55
124,-170.56
125,-194.98
126,-164.33
127,-223.68
128,-153.81
129,-190.18
130,-190.4
131,-309.97
132,-153.52
133,-153.88
134,-130.72
135,-205.68
136,-172.8
137,-159.1
138,-34.59
139,-288.8
140,-162.97
141,-333.81
142,-185.37
143,-307.66
144,-193.96
145,-179.15
146,-105.16
147,-340.94
148,-418.96
149,-200.61
150,-211.62
151,-181.31
152,-149.52
153,-191.82
154,-131.88
155,-160.49
156,-144.53
157,-149.04
158,-176.09
159,-270.84
160,-134.73
161,-154.74
162,-527.58
163,-162.27
164,-169.92
165,-272.69
166,-266.36
167,-359.36
168,-321.97
169,-155.91
170,-284.26
171,-373.29
172,-154.84
173,-447.93
174,-294.62
175,-199.28
176,-212.5
177,-181.26
178,-272.28
179,-493.8
180,-159.02
181,-432.55
182,-190.06
183,-133.83
184,-171.52
185,-162.13
186,-208.29
187,-182.67
188,-512.21
189,-190.95
190,-121.91
191,-130.27
192,-474.36
193,-189.07
194,-321.89
195,-134.42
196,-184.78
197,-218.53
198,-429.75
199,-184.4
200,-20.19
201,-160.37
202,-269.73
203,-431.7
204,-153.75
205,-308.55
206,-381.69
207,-173.94
208,-249.84
209,-418.44
210,-285.21
211,-170.16
212,-308.06
213,-226.09
214,-312.56
215,-417.54
216,-413.74
217,-185.86
218,-155.75
219,-289.16
220,-213.67
221,-159.44
222,-138.2
223,-182.82
224,-69.01
225,-215.26
226,-205.05
227,-124.85
228,-230.54
229,-287.46
230,-353.61
231,-132.82
232,-131.31
233,-275.59
234,-188.35
235,-130.62
236,-286.47
237,-160.55
238,-122.2
239,-137.16
240,-142.38
241,-178.34
242,-398.03
243,-128.1
244,-158.42
245,-114.95
246,-307.2
247,-259.05
248,-272.12
249,-134.65
250,-152.23
251,-99.56
252,-124.74
253,-225.75
254,-369.45
255,-337.45
256,-136.81
257,-327.88
258,-312.22
259,-395.54
260,-186.09
261,-141.25
262,-294.55
263,-429.46
264,-82.45
265,-135.48
266,-75.45
267,-462.51
268,-219.8
269,-29.48
270,-148.28
271,-124.79
272,-156.12
273,-38.43
274,-302.05
275,-269.81
276,-143.5
277,-172.76
278,-235.01
279,-163.33
280,-399.68
281,-218.69
282,-125.16
283,-150.96
284,-179.15
285,-522.32
286,-138.64
287,-179.22
288,-187.72
289,-142.12
290,-234.5
291,-113.34
292,-143.26
293,-221.63
294,-162.23
295,-213.68
296,-443.15
297,-124.08
298,-437.37
299,-249.09
300,-91.2
301,-98.66
302,-466.1
303,-432.95
304,-297.67
305,-183.58
306,-136.61
307,-319.98
308,-216.53
309,-148.11
310,-214.65
311,-375.34
312,-200.49
313,-446.6
314,-172.34
315,-141.59
316,-199.1
317,-192.65
318,-225.14
319,-121.53
320,-79.47
321,-197.48
322,-143.03
323,-171.42
324,-208.77
325,-85.27
326,-333.37
327,-371.0
328,-212.77
329,-192.47
330,-208.04
331,-147.12
332,-331.2
333,-151.62
334,-365.22
335,-161.79
336,-167.81
337,-130.3
338,-157.03
339,-186.74
340,-153.18
341,-392.26
342,-117.52
343,-315.14
344,-167.19
345,-172.3
346,-183.81
347,-146.81
348,-153.76
349,-409.08
350,-204.47
351,-146.07
352,-275.02
353,-286.97
354,-140.18
355,-64.99
356,-290.94
357,-192.67
358,-362.11
359,-69.3
360,-179.49
361,-186.72
362,-149.18
363,-330.26
364,-248.36
365,-201.68
366,-108.14
367,-186.41
368,-150.59
369,-349.24
370,-130.88
371,-259.61
372,-193.37
373,-354.18
374,-170.74
375,-147.35
376,-147.28
377,-168.36
378,-326.71
379,-197.28
380,-195.43
381,-133.44
382,-154.63
383,-226.14
384,-168.97
385,-155.2
386,-311.22
387,-128.74
388,-132.41
389,-315.38
390,-177.82
391,-47.07
392,-285.16
393,-241.31
394,-171.9
395,-239.68
396,-117.82
397,-217.32
398,-142.24
399,-286.69
400,-174.45
401,-172.33
402,-209.79
403,-192.66
404,-209.68
405,-170.6
406,-124.42
407,-161.9
408,-260.33
409,-229.05
410,-278.8
411,-191.18
412,-185.44
413,-205.73
414,-117.93
415,-191.26
416,-365.5
417,-111.6
418,-42.8
419,-67.87
420,-285.37
421,-147.39
422,-170.88
423,-276.59
424,-201.88
425,-322.58
426,-231.49
427,-183.26
428,-146.74
429,-321.61
430,-218.65
431,-425.59
432,-303.82
433,-169.11
434,-145.32
435,-149.55
436,-207.27
437,-191.89
438,-328.47
439,-147.49
440,-143.72
441,-162.75
442,-241.29
443,-300.67
444,-122.13
445,-128.83
446,-67.88
447,-127.96
448,-185.77
449,-164.7
450,-462.22
451,-219.86
452,-155.82
453,-191.11
454,-258.96
455,-167.52
456,-190.49
457,-154.07
458,-38.59
459,-262.71
460,-306.37
461,-190.79
462,-210.16
463,-361.29
464,-176.68
465,-244.58
466,-236.0
467,-191.06
468,-450.7
469,-96.22
470,-438.06
471,-389.33
472,-234.72
473,-173.24
474,-138.01
475,-156.67
476,-211.54
477,-198.08
478,-163.58
479,-161.37
480,-163.2
481,-400.98
482,-164.83
483,-150.05
484,-131.83
485,-251.14
486,-328.87
487,-145.05
488,-152.07
489,-144.53
490,-157.65
491,-188.71
492,-188.26
493,-242.1
494,-168.15
495,-141.18
496,-145.04
497,-199.87
498,-119.99
499,-130.91
500,-342.4
501,-149.84
502,-250.48
503,-239.16
504,-142.71
505,-260.96
506,-413.67
507,-148.79
508,-459.86
509,-174.34
510,-227.84
511,-271.57
512,-182.2
513,-167.87
514,-249.81
515,-250.0
516,-190.13
517,-297.14
518,-238.92
519,-173.82
520,-235.81
521,-210.82
522,-137.34
523,-205.55
524,-283.06
525,-138.34
526,-210.62
527,-199.66
528,-132.05
529,-185.57
530,-169.41
531,-142.04
532,-131.86
533,-155.79
534,-142.34
535,-261.68
536,-128.93
537,-158.7
538,-236.64
539,-152.36
540,-239.78
541,-404.41
542,-220.32
543,-189.71
544,-220.66
545,-167.09
546,-399.38
547,-221.85
548,-148.29
549,-362.72
550,-475.15
551,-219.55
552,-225.28
553,-156.69
554,-204.42
555,-132.06
556,-173.3
557,-148.0
558,-192.79
559,-165.62
560,-120.38
561,-185.33
562,-161.5
563,-188.96
564,-241.21
565,-199.63
566,-242.13
567,-179.24
568,-227.94
569,-171.93
570,-314.35
571,-217.81
572,-157.23
573,6.69
574,-180.44
575,-158.49
